OLH;RIO;3.6;3.3;2.05;3.3;3.2;2.15;3.2;3.1;2.1;3.6;3;2.05;3.93;3.14;2.19;3.4;3;2.15;3.5;3.2;2.05;3.8;3.3;2.1
SET;ACA;2.6;3.2;2.7;2.75;3.1;2.55;2.6;3.1;2.6;2.65;2.87;2.7;2.83;3.07;2.88;2.7;3;2.6;2.63;3.13;2.6;2.7;3.1;2.6
ACA;MAR;2.6;3;2.88;2.4;3.1;2.9;2.3;3.1;2.8;2.5;2.9;2.87;2.77;3.2;2.85;2.38;3.1;2.9;2.5;3.13;2.75;2.75;3.13;2.8
BRA;SET;1.33;4.75;10;1.33;4.4;10;1.3;4.4;8.5;1.3;4.5;9.5;1.38;4.9;9.95;1.29;4.8;9.5;1.33;4.8;9;1.36;4.8;11
SPO;BEL;1.36;4.75;8;1.3;4.75;9.75;1.3;4.4;8.5;1.35;4.33;9;1.38;4.9;9.66;1.36;4.5;7.5;1.36;4.5;8;1.36;4.8;9.5
ARO;GUI;3.2;3.25;2.25;3;3.2;2.3;3;3.1;2.2;3.1;2.9;2.3;3.4;3.18;2.37;3.1;3;2.3;3.13;3.13;2.3;3.3;3.2;2.38
OLH;BEN;13;5.25;1.25;12.5;5;1.25;9;5;1.25;13;5.5;1.22;14.4;6.2;1.25;11;5;1.25;12;5.5;1.22;15;6;1.25
RIO;POR;7;4;1.5;5.75;3.8;1.55;5.5;3.8;1.5;6.5;3.6;1.5;7.32;4.04;1.55;6;3.6;1.55;6.5;3.8;1.5;7.5;4;1.53
EST;GIL;1.57;3.8;6;1.57;3.7;5.75;1.6;3.6;4.8;1.55;3.5;6;1.57;4;7;1.6;3.5;5.5;1.53;3.75;6.25;1.55;4;7
NAC;PAC;2.1;3.25;3.6;1.95;3.4;3.6;1.9;3.2;3.6;2.1;3.1;3.25;2.18;3.43;3.58;2.05;3.25;3.4;2.1;3.25;3.3;2.15;3.4;3.5
MAR;BRA;3.6;3.3;2.05;3.2;3.2;2.05;3.3;3.2;2;3.6;3.1;2;3.64;3.44;2.15;3.5;3.3;2;3.4;3.25;2.1;3.5;3.3;2.05
POR;OLH;1.08;9;29;1.08;9;23;1.1;7;15;1.08;9.5;26;1.09;12.83;37.61;1.1;8;17;1.07;9;26;1.09;11.5;29
SET;BEN;9;5;1.33;7.75;4.75;1.35;8;4.2;1.33;9;4.75;1.3;9.24;5.19;1.38;8;4.6;1.33;8;4.5;1.36;9.5;5;1.36
GUI;ACA;1.85;3.3;4.5;1.9;3.3;4;1.85;3.2;3.8;1.83;3;4.5;1.95;3.38;4.5;1.85;3.2;4.2;1.9;3.3;4;1.91;3.3;4.75
PAC;RIO;2.2;3.1;3.5;2.2;3.2;3.2;2.2;3.1;3;2.15;3;3.3;2.22;3.31;3.62;2.15;3.1;3.3;2.2;3.13;3.3;2.25;3.3;3.4
SPO;NAC;1.4;4.5;7.5;1.4;4.6;6.75;1.4;4;6.5;1.36;4.33;7.5;1.43;4.73;8.42;1.4;4.33;7;1.4;4.33;7;1.4;4.6;8
BEL;EST;3;3.2;2.4;3;3.1;2.35;2.8;3.1;2.3;3;3;2.3;3.26;3.31;2.38;3.1;3.1;2.25;3;3.2;2.3;3.12;3.3;2.4
GIL;ARO;2.3;3.2;3.2;2.3;3.2;3;2.2;3.1;3;2.25;3;3.1;2.4;3.29;3.25;2.3;3.1;3;2.3;3.2;3;2.4;3.25;3.2
BRA;GUI;1.67;3.5;5.5;1.62;3.6;5.5;1.65;3.5;4.5;1.7;3.2;5.2;1.76;3.62;5.55;1.73;3.4;4.6;1.73;3.4;5;1.75;3.5;5.5
EST;SPO;3.2;3.4;2.2;3.25;3.3;2.15;3;3.1;2.2;3.2;3.1;2.15;3.45;3.49;2.21;3;3.2;2.25;3.2;3.2;2.2;3.3;3.4;2.2
RIO;MAR;2.3;3.2;3.2;2.3;3.1;3.1;2.3;3.1;2.8;2.2;3;3.25;2.25;3.4;3.41;2.25;3.2;3;2.25;3.2;3.13;2.3;3.25;3.4
ACA;PAC;2.5;3.1;2.9;2.4;3.2;2.85;2.3;3.1;2.8;2.45;2.9;2.9;2.68;3.15;2.95;2.3;3;3.1;2.5;3.13;2.8;2.62;3.1;3
ARO;BEL;2.6;3;2.9;2.4;3.1;2.95;2.4;3.1;2.7;2.5;2.87;2.85;2.65;3.13;3;2.45;2.9;3;2.5;3;2.8;2.7;3;3
BEN;POR;2.38;3.25;3;2.25;3.3;3;2.4;3.1;2.8;2.3;3;2.9;2.35;3.42;3.21;2.38;3.1;2.88;2.3;3.2;3;2.4;3.25;3.12
NAC;GIL;1.73;3.5;5;1.72;3.5;4.75;1.75;3.3;4.2;1.72;3.3;4.6;1.81;3.67;4.89;1.8;3.3;4.33;1.73;3.4;4.8;1.8;3.5;5
OLH;SET;2.9;3.1;2.5;3.1;3.1;2.3;2.6;3.1;2.5;2.9;2.9;2.4;3.04;3.13;2.63;2.8;3;2.5;3;3.13;2.4;3;3.1;2.6
OLH;GUI;4.2;3.25;1.91;4;3.2;1.95;3.2;3.1;2.1;4.33;3;1.85;4.42;3.29;2.02;3.8;3.2;1.95;4;3.2;1.95;4.3;3.25;2
ARO;SPO;6.5;3.9;1.53;6.75;3.9;1.48;5.5;3.8;1.5;6.5;3.6;1.53;7.52;4.05;1.54;6;3.6;1.55;6;3.75;1.53;7;3.9;1.55
ACA;GIL;2.05;3.25;3.75;2.05;3.25;3.5;1.9;3.2;3.6;2;3;3.75;2.08;3.22;4.19;2;3.1;3.75;2.05;3.2;3.6;2.1;3.3;3.9
BEN;MAR;1.22;6.5;11;1.22;6;11;1.17;5.7;12;1.22;5.5;12;1.24;6.47;14.67;1.2;6;11;1.25;5.75;10;1.25;6.5;12
POR;SET;1.11;8.5;21;1.11;7.75;20;1.12;6.5;14;1.11;8;26;1.12;9.5;29;1.11;7.5;17;1.1;8;21;1.12;9;23
RIO;BEL;2.05;3.2;3.75;1.95;3.25;3.9;2;3.2;3.3;2.05;3;3.6;2.13;3.24;3.97;2;3.1;3.75;2.05;3.2;3.6;2.1;3.25;3.9
BRA;PAC;1.5;4;7;1.4;4.4;7;1.4;4;6.5;1.45;3.9;7;1.48;4.47;7.7;1.44;4;6.5;1.44;4;7;1.5;4;7.5
NAC;EST;3;3.2;2.4;2.75;3.2;2.5;2.6;3.1;2.6;2.9;2.9;2.4;3.03;3.3;2.52;2.8;3.2;2.38;2.88;3.13;2.4;3.1;3.2;2.5
EST;ARO;1.5;4;7;1.53;3.8;6;1.5;3.8;5.5;1.45;3.8;7;1.51;4.23;7.81;1.44;4;6.5;1.5;3.8;6.25;1.53;4;7.5
GIL;BEN;12;5;1.29;9.75;5;1.28;9;4.6;1.27;11;4.8;1.28;14.15;5.45;1.29;9;4.75;1.3;11;5;1.27;11;5.4;1.29
MAR;POR;10;4.33;1.36;7.75;4.2;1.4;7.5;4.2;1.37;8;4;1.4;9.52;4.8;1.4;7;4;1.44;8.5;4.33;1.36;8.5;4.6;1.4
SET;RIO;2.9;3.1;2.5;2.8;3.1;2.5;2.7;3.1;2.4;2.9;2.87;2.45;3.16;3.21;2.49;2.8;3;2.5;2.88;3;2.4;3.1;3.1;2.55
BEL;BRA;4.8;3.3;1.8;4.25;3.4;1.8;4.2;3.3;1.75;4.6;3.1;1.8;5.29;3.67;1.76;4.6;3.3;1.75;4.5;3.3;1.8;4.8;3.4;1.85
SPO;ACA;1.33;4.75;9.5;1.33;4.6;9;1.3;4.4;8.5;1.33;4.5;9;1.38;4.93;9.82;1.29;4.8;10;1.33;5;8;1.36;4.8;11
GUI;NAC;2;3.3;3.8;2;3.3;3.6;2;3.2;3.3;2.1;3;3.5;2.18;3.29;3.74;2;3.2;3.6;2.05;3.25;3.5;2.15;3.2;3.75
PAC;OLH;1.6;3.6;6;1.62;3.6;5.5;1.6;3.6;4.8;1.61;3.3;5.75;1.62;3.85;6.51;1.65;3.5;5;1.62;3.6;5.25;1.62;3.6;5.5
NAC;BEL;1.91;3.4;4;1.87;3.3;4.1;1.8;3.2;4;1.9;3.2;3.9;1.98;3.45;4.24;1.91;3.2;4;1.95;3.3;3.8;1.95;3.4;4.1
SET;GUI;3.5;3.1;2.2;3.1;3.2;2.25;3;3.1;2.2;3.25;2.9;2.2;3.5;3.13;2.35;3.3;3.1;2.15;3.2;3.2;2.2;3.3;3.2;2.3
OLH;MAR;3.75;3.4;2;3.7;3.25;2;3.3;3.2;2;3.6;3.1;2;3.91;3.36;2.11;3.6;3.2;2;3.6;3.3;2;2.88;3.4;2.1
POR;PAC;1.17;7;17;1.17;6.5;13.5;1.2;5.2;11;1.18;6;15;;;;1.18;6;13;1.18;6.5;13;1.18;7;17
RIO;ARO;1.91;3.3;4.2;1.9;3.25;4.1;1.85;3.2;3.8;1.9;3.1;4.1;1.93;3.3;4.8;1.85;3.2;4.2;1.9;3.3;4;1.92;3.3;4.33
BRA;GIL;1.3;5;10;1.33;4.25;11;1.35;4.2;7.5;1.3;4.75;10;1.32;5.4;11.63;1.29;4.75;10;1.3;5;9.5;1.3;5.25;11
ACA;EST;4.33;3.2;1.91;3.7;3.25;2;3.2;3.1;2.1;4.2;3;1.9;4.43;3.31;1.99;4;3.1;1.95;3.8;3.3;1.91;4.1;3.25;2
BEN;SPO;1.73;3.6;4.75;1.72;3.5;4.6;1.7;3.5;4.5;;;;1.75;3.85;5.05;1.65;3.5;5;1.73;3.6;4.8;1.75;3.6;5
BEL;ACA;2.3;3;3.4;2.35;2.9;3.2;2.3;3.1;2.8;2.35;2.87;3.1;2.47;2.96;3.48;2.45;2.88;3;2.3;3.13;3.13;2.4;3.1;3.3
SPO;OLH;1.17;7;15;1.15;7.25;14;1.2;5.2;11;1.15;6.5;21;;;;1.18;6;13;1.14;7;17;1.18;7.5;18
