SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
1, 3.2, 3.1, 3, 3, 3, 3.1, 3, 3.1
0, 3.2, 3.2, 3.1, 3.05, 3, 3.15, 3, 3.2
0, 6, 5.7, 5.5, 5, 5.5, 6, 6, 5.75
1, 6, 5.75, 5.5, 5, 5, 5.75, 5.5, 5
0, 3.1, 3, 3, 3, 3.1, 3, 3, 3
0, 3.1, 3, 3, 3, 3, 3, 2.9, 3.1
1, 3.1, 3, 3, 3, 3.1, 3, 3.1, 3
0, 3.3, 3.25, 3.2, 3.1, 3.1, 3.2, 3.2, 3.2
1, 3.75, 3.8, 3.3, 3.1, 3.2, 3.4, 3.3, 3.5
0, 3.8, 3.75, 3.6, 3.6, 3.4, 3.6, 3.6, 3.6
0, 4.5, 4.6, 4.5, 4, 3.75, 4.5, 4.33, 4.5
1, 3.1, 3, 3, 3, 3, 3, 3, 3
0, 3, 3.1, 3, 3, 3, 3, 3, 3
0, 3.1, 3, 3.1, 3, 3, 3.05, 3.1, 3
0, 3.1, 3, 3.1, 3, 3, 3, 3, 3.1
0, 3.2, 3.1, 3.1, 3.1, 3, 3.1, 3.2, 3.2
0, 3.2, 3.1, 3.1, 3, 3, 3.15, 3.2, 3.25
0, 7, 6, 6.5, 5.7, 5.5, 6.5, 6.5, 7
0, 4.5, 4.1, 4.25, 4.2, 3.75, 4.5, 4.33, 4.5
1, 3.1, 3, 3, 3, 3.2, 3.1, 3.1, 3
0, 3.3, 3.4, 3.25, 3.2, 3.25, 3.4, 3.3, 3.3
0, 3.5, 3.3, 3.4, 3.2, 3.2, 3.5, 3.4, 3.25
0, 3.1, 3.1, 3.1, 3, 3, 3.05, 3.1, 3.1
1, 3.25, 3.1, 3.1, 3.1, 3, 3.15, 3.2, 3.1
0, 3.2, 3.1, 3, 3, 3, 3.2, 3, 3.2
0, 4.5, 4.4, 4.33, 4, 3.75, 4.75, 4.5, 4.5
0, 3.2, 3, 3, 2.9, 3.1, 3.1, 3, 3.2
0, 3.5, 3.4, 3.4, 3.3, 3.25, 3.4, 3.3, 3.4
0, 7, 6.2, 6.5, 5.7, 6, 7.5, 6, 7
0, 3.3, 3.2, 3.2, 3, 3, 3.15, 3.1, 3.2
0, 4, 4, 4, 4, 3.75, 4.5, 4, 4.33
0, 4.75, 4.4, 4.5, 4, 4, 5, 4.6, 4.75
0, 8, 7, 7, 5.4, 6.5, 7.5, 7, 7.5
1, 3.25, 3.2, 3.2, 3, 3.2, 3.2, 3.2, 3.25
0, 6.5, 6.25, 6, 5, 6, 5.75, 6, 7
0, 3.8, 3.9, 3.6, 3.6, 3.3, 3.7, 4, 3.6
0, 3.2, 3.2, 3.2, 3.1, 3, 3.2, 3.2, 3.2
0, 3.2, 3.1, 3.1, 3, 3, 3.1, 3.1, 3.2
0, 3.1, 2.95, 3.1, 3.1, 3, 3, 2.88, 3.1
1, 3.2, 3, 3.1, 3.05, 3, 3, 3.1, 3.1
0, 3.2, 3, 3.1, 3, 3.1, 3.1, 3.2, 3.2
0, 3.4, 3.2, 3.2, 3.1, 3.2, 3.3, 3.25, 3.25
1, 4.5, 4.75, 4.75, 4.4, 5, 4.6, 4.5, 5.25
0, 3.25, 3.1, 3, 2.9, 3, 3, 3.1, 3.1
0, 3.25, 3, 3.1, 2.9, 3, 3.1, 3.1, 3.1
1, 3.1, 3.1, 3.1, 2.9, 3, 3.1, 3.1, 3.2
1, 3.3, 3.3, 3.2, 3, 3, 3.2, 3.25, 3.25
0, 5.5, 5.75, 5.5, 4.6, 5, 6, 6, 5.5
0, 3.2, 3.1, 3.2, 3, 3, 3.2, 3, 3.1
0, 3.6, 3.3, 3.4, 3.2, 3.25, 3.4, 3.3, 3.4
1, 3.1, 3, 3.1, 3, 3.1, 3.1, 3, 3.1
0, 3, 2.95, 3, 2.9, 2.9, 3, 2.9, 3.1
0, 3.25, 3.2, 3.2, 3, 3, 3.15, 3.25, 3.25
1, 3.25, 3, 3.2, 3, 3.1, 3.1, 3.2, 3.25
0, 4.5, 4.1, 4.25, 3.6, 3.75, 4.33, 4, 4.33
0, 3.6, 3.4, 3.5, 3.4, 3.3, 3.5, 3.4, 3.5
0, 4.75, 4.5, 4.5, 4, 4, 4.5, 4.33, 4.5
0, 4.75, 4.4, 4.5, 4, 4, 4.5, 4.33, 4.5
0, 5.5, 5.25, 5, 4.6, 4.5, 5.5, 5.5, 5.25
0, 3.1, 3, 3.1, 3, 3, 3.05, 3.1, 3.1
0, 3.5, 3.5, 3.4, 3.2, 3.3, 3.4, 3.4, 3.6
0, 3.2, 3, 3.1, 3, 3, 3.1, 3.1, 3.1
1, 3.1, 3, 3.1, 3, 3, 3.1, 3.1, 3.2
0, 3.2, 3, 3.1, 3, 3, 3.1, 3.1, 3.25
0, 6.5, 6, 6, 5.7, 6, 6.5, 5.5, 6
1, 3.6, 3.4, 3.3, 3, 3.25, 3.4, 3.2, 3.5
0, 6, 5.5, 5.5, 5.4, 5, 5.75, 4.8, 5.5
1, 3.5, 3.5, 3.5, 3.3, 3.25, 3.5, 3.3, 3.6
0, 3.1, 3.1, 3, 2.8, 3, 3.1, 2.88, 3.1
1, 3.4, 3.2, 3.2, 3, 3, 3.3, 3.2, 3.4
0, 3.1, 3, 3, 2.9, 2.88, 3.05, 3, 3.1
0, 3.5, 3.35, 3.2, 3, 3.1, 3.4, 3.1, 3.5
1, 3, 3, 3.1, 2.8, 2.9, 3.1, 3, 3
1, 3.25, 3.2, 3.1, 3, 3, 3.2, 3.2, 3.1
0, 3.2, 3.1, 3.1, 3, 3, 3.2, 3.1, 3.1
0, 3.5, 3.4, 3.4, 3.2, 3.25, 3.4, 3.4, 3.4
0, 4.5, 5.25, 4.5, 4.4, 4.2, 5, 5, 4.75
0, 3.75, 3.5, 3.5, 3.4, 3.25, 3.6, 3.5, 3.5
0, 3.3, 3.25, 3.2, 3.2, 3, 3.25, 3.2, 3.3
0, 3.3, 3.2, 3.25, 3.2, 3.25, 3.3, 3.1, 3.2
