SIGN, B365A, BWA, IWA, LBA, PSA, WHA, SJA, VCA
1, 3.6, 3.5, 3.5, 3.3, 3.2, 3.5, 3.4, 3.4
0, 3.2, 3.1, 3, 3.1, 3.2, 3.4, 3.2, 3.1
-1, 3.2, 3.4, 3.4, 3.1, 3.2, 3.4, 3.4, 3.2
1, 19, 15, 15, 14, 13, 17, 11, 17
0, 4.75, 4.75, 4.75, 4.4, 3.75, 4.8, 4.4, 4.75
1, 13, 12.5, 11, 13, 11, 13, 9, 13
0, 1.67, 1.67, 1.65, 1.65, 1.62, 1.7, 1.65, 1.62
1, 3.25, 3.3, 3.2, 3.3, 3, 3.2, 3, 3.1
0, 4.5, 4.5, 4.5, 4.2, 4, 4.5, 4, 4.75
-1, 3.25, 3.1, 3.2, 3, 3, 3.25, 3, 3.1
-1, 1.73, 1.75, 1.85, 1.9, 1.8, 1.8, 1.75, 1.73
0, 2.38, 2.35, 2.3, 2.4, 2.5, 2.4, 2.3, 2.38
0, 2.38, 2.4, 2.3, 2.3, 2.37, 2.38, 2.25, 2.4
-1, 3.4, 3.3, 3.1, 3.1, 3.2, 3.3, 3.3, 3.4
1, 5.5, 5, 5, 4.7, 4.5, 5.2, 4.6, 5.75
-1, 1.3, 1.26, 1.33, 1.3, 1.28, 1.29, 1.25, 1.29
1, 6, 5.25, 5.5, 5.2, 5, 5.75, 5.5, 6
1, 4, 4.6, 4, 3.7, 3.75, 4, 3.8, 4.2
-1, 1.8, 1.83, 1.85, 1.85, 1.66, 1.85, 1.83, 1.87
0, 2.38, 2.35, 2.25, 2.3, 2.2, 2.25, 2.3, 2.38
1, 17, 20, 17, 16, 15, 19, 17, 19
0, 3.25, 3.3, 3.1, 3.3, 3.2, 3.25, 3.2, 3.1
1, 17, 18.5, 17, 14, 13, 17, 15, 17
