SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
0, 3.8, 3.9, 3.7, 3.6, 4.24, 3.8, 3.75, 3.8
1, 3.2, 3.4, 1, 3, 3.26, 3, 3.2, 3.2
1, 3.4, 3.5, 3.2, 3.4, 3.68, 3.4, 3.5, 3.4
0, 3.8, 3.7, 3.8, 3.3, 4.02, 3.6, 3.5, 3.8
0, 3.25, 3.2, 3, 3.1, 3.39, 3.1, 3.13, 3.25
0, 3.6, 3.7, 3.6, 3.3, 3.92, 3.5, 3.5, 3.6
0, 3.75, 3.8, 3.4, 3.5, 3.92, 3.5, 3.6, 3.75
0, 3.25, 3.5, 3.1, 3.1, 3.48, 3.25, 3.2, 3.25
0, 3.25, 3.2, 3.1, 3, 3.36, 3.2, 3.2, 3.25
0, 3.3, 3.2, 3.3, 3, 3.5, 3.2, 3.25, 3.3
0, 3.8, 3.9, 3.8, 3.6, 4.11, 3.8, 3.75, 3.8
