SIGN, B365H, B365D, B365A, BWH, BWD, BWA, IWH, IWD, IWA, LBH, LBD, LBA, PSH, PSD, PSA, WHH, WHD, WHA, SJH, SJD, SJA, VCH, VCD, VCA
-1.00, 2.90, 3.10, 2.50, 2.60, 3.20, 2.60, 2.60, 3.00, 2.60, 2.90, 2.90, 2.45, 3.14, 3.13, 2.55, 2.90, 2.90, 2.50, 2.80, 3.00, 2.50, 3.00, 3.12, 2.60
1.00, 1.25, 5.00, 15.00, 1.28, 5.00, 10.00, 1.33, 4.20, 8.00, 1.28, 4.60, 11.00, 1.30, 5.37, 13.15, 1.25, 5.00, 11.00, 1.30, 4.80, 9.50, 1.29, 5.40, 15.00
1.00, 11.00, 4.50, 1.33, 8.50, 4.60, 1.34, 7.50, 4.20, 1.35, 9.00, 4.33, 1.35, 9.54, 4.73, 1.40, 9.00, 4.40, 1.33, 8.00, 4.50, 1.36, 10.00, 4.75, 1.36
-1.00, 2.88, 3.20, 2.50, 2.70, 3.10, 2.60, 2.60, 3.10, 2.50, 2.85, 3.00, 2.40, 3.07, 3.12, 2.61, 2.70, 3.00, 2.60, 2.80, 3.13, 2.50, 2.90, 3.20, 2.62
0.00, 1.95, 3.20, 4.20, 2.00, 3.25, 3.70, 2.00, 3.20, 3.30, 2.00, 3.00, 3.80, 2.08, 3.30, 4.10, 2.05, 3.10, 3.60, 2.00, 3.20, 3.75, 2.00, 3.30, 4.20
0.00, 1.75, 3.50, 4.75, 1.80, 3.50, 4.20, 1.80, 3.20, 4.00, 1.75, 3.25, 4.60, 1.85, 3.64, 4.68, 1.73, 3.50, 4.40, 1.73, 3.50, 4.50, 1.80, 3.60, 4.80
-1.00, 6.00, 4.00, 1.53, 5.50, 3.90, 1.55, 5.50, 3.80, 1.50, 6.00, 3.60, 1.53, 7.05, 3.97, 1.57, 6.00, 3.60, 1.55, 5.75, 3.80, 1.53, 6.50, 4.00, 1.57
1.00, 1.40, 4.50, 8.00, 1.40, 4.40, 7.25, 1.35, 4.20, 7.50, 1.44, 4.10, 6.50, 1.45, 4.63, 8.04, 1.35, 4.60, 7.50, 1.40, 4.50, 6.50, 1.44, 4.60, 7.50
-1.00, 1.91, 3.40, 4.00, 1.90, 3.25, 4.10, 1.90, 3.20, 3.60, 1.90, 3.10, 3.90, 2.01, 3.26, 4.42, 1.85, 3.20, 4.20, 1.91, 3.30, 3.80, 1.95, 3.40, 4.30
0.00, 1.17, 6.50, 19.00, 1.16, 7.00, 12.00, 1.20, 5.20, 11.00, 1.16, 6.00, 17.00, 1.17, 7.93, 21.48, 1.17, 6.00, 15.00, 1.17, 7.00, 13.00, 1.17, 7.50, 20.00
0.00, 2.00, 3.40, 3.75, 1.90, 3.30, 4.00, 1.90, 3.20, 3.60, 1.95, 3.00, 4.00, 1.98, 3.24, 4.62, 1.95, 3.20, 3.80, 2.00, 3.30, 3.75, 2.00, 3.40, 4.10
